Date,"System 0-A
(纯规则 S4)","System 1
(纯ML)","System 4
(ML+ATR+BBL+TOCE)","System 5
(完整ARMS)","MA均线交叉
(5/20)",B&H
2019-08-28,998700.6336126985,999382.9931131654,999382.9931131654,999382.9931131654,998700.6336126985,1000000.0
2019-08-29,1000217.2721410507,1004344.3254080144,1004540.2011978376,1004540.2011978376,993324.2945092908,996168.9723970424
2019-08-30,1019501.9572907479,1012402.1706903591,1012239.5211890246,1012115.9087007983,1000608.3172118955,995423.4246405959
2019-09-02,1024583.0176845918,1016282.1692696445,1014257.3747121993,1013871.5319038763,1008157.26326495,1007536.0490444184
2019-09-03,1020200.3498593675,1014248.3871202684,1010866.2669730998,1010743.4911870876,1004202.3688092371,1010303.5110973216
2019-09-04,1003770.438825075,1008176.9317676806,1006841.0226691898,1008859.2144369995,997696.9585042495,1015642.1026664488
2019-09-05,1008936.5513636769,1013347.8391143654,1010825.1067786639,1012447.0209012433,1009108.2597505598,1023534.086052804
2019-09-06,1008683.1551595766,1010152.1640214926,1016316.9376585397,1017187.6371497501,1022335.2490878835,1026826.4864406458
2019-09-09,1002342.8441651464,1008326.8533614497,1012146.2756525517,1013565.9898808252,1013677.4021710656,1035352.6231130292
2019-09-10,993783.6945716969,1003053.5467154706,1005326.9260416612,1008070.8515817937,1007507.1402938286,1033802.4681283081
2019-09-11,959646.2840355579,998531.5339821344,990187.6613929393,998520.9552772279,978733.9704376216,1023757.9225253253
2019-09-12,968966.2994045689,1001204.3515960708,996899.1861968726,1005168.3104798066,986755.9346641606,1030361.6497531583
2019-09-16,963665.9915350522,1003103.1437624596,995761.5613359975,1005016.1682958065,990773.539306712,1034329.2004945651
2019-09-17,934902.8152483904,995025.1288017323,985587.7189940815,996724.884927293,972565.6040325396,1013879.0564415682
2019-09-18,942738.4852291293,1000909.9534623652,991890.9002469479,1003099.292286337,977307.4781535227,1016267.4851650394
2019-09-19,961762.474215159,1012871.5135668501,1003569.0442821562,1014723.4829113623,986018.9260804021,1024136.4257577735
